SYMBOL	STAN	EOREOR
00108096	14,000	EOREOR
00000246	13,000	EOREOR
5400182928126	9,000	EOREOR
032488830305	2,000	EOREOR
00067768	1,000	EOREOR
024847239300	13,000	EOREOR
795711072018	2,000	EOREOR
	0,000	EOREOR
886661187683	0,000	EOREOR
024847264319	26,000	EOREOR
024847227086	4,000	EOREOR
024847876468	2,000	EOREOR
024847233391	4,000	EOREOR
024847238716	0,000	EOREOR
024847240894	0,000	EOREOR
024847230246	38,000	EOREOR
024847227116	1,000	EOREOR
024847239164	0,000	EOREOR
024847240825	1,000	EOREOR
024847238808	6,000	EOREOR
024847832051	3,000	EOREOR
024847910568	0,000	EOREOR
024847760026	25,000	EOREOR
024847836202	1,000	EOREOR
024847235296	3,000	EOREOR
024847848335	2,000	EOREOR
024847239423	1,000	EOREOR
00000239	0,000	EOREOR
024847251371	4,000	EOREOR
024847880045	4,000	EOREOR
024847241136	2,000	EOREOR
024847896282	1,000	EOREOR
024847899665	4,000	EOREOR
024847182385	0,000	EOREOR
024847842494	0,000	EOREOR
024847190502	0,000	EOREOR
024847191844	0,000	EOREOR
024847338515	0,000	EOREOR
024847670165	3,000	EOREOR
024847720280	1,000	EOREOR
047282008188	0,000	EOREOR
047282019030	0,000	EOREOR
047282054161	25,000	EOREOR
047282054420	1,000	EOREOR
047282054123	3,000	EOREOR
00113304	5,000	EOREOR
047282058510	9,000	EOREOR
047282076378	0,000	EOREOR
047282025277	1,000	EOREOR
047282025307	4,000	EOREOR
047282091579	1,000	EOREOR
047282117224	0,000	EOREOR
047282149669	6,000	EOREOR
024847243949	1,000	EOREOR
024847231816	3,000	EOREOR
024847231564	11,000	EOREOR
024847231779	5,000	EOREOR
024847241556	1,000	EOREOR
00078283	1,000	EOREOR
024847237245	2,000	EOREOR
024847233346	0,000	EOREOR
024847240948	1,000	EOREOR
024847238587	1,000	EOREOR
024847250206	2,000	EOREOR
024847235104	0,000	EOREOR
024847239676	1,000	EOREOR
024847236774	2,000	EOREOR
024847233353	2,000	EOREOR
024847230239	1,000	EOREOR
024847243864	1,000	EOREOR
024847266610	5,000	EOREOR
024847263787	12,000	EOREOR
024847249620	0,000	EOREOR
00025652	0,000	EOREOR
024847040111	1,000	EOREOR
024847046632	9,000	EOREOR
024847048377	3,000	EOREOR
024847063936	2,000	EOREOR
024847080674	1,000	EOREOR
5900000010564	0,000	EOREOR
024847339550	1,000	EOREOR
024847393248	1,000	EOREOR
024847401622	1,000	EOREOR
024847406153	0,000	EOREOR
024847406061	0,000	EOREOR
024847601473	0,000	EOREOR
024847106169	0,000	EOREOR
024847680812	1,000	EOREOR
024847624984	19,000	EOREOR
024847257373	0,000	EOREOR
024847680232	1,000	EOREOR
296672487037	1,000	EOREOR
5900000019055	0,000	EOREOR
00027359	0,000	EOREOR
024847710540	9,000	EOREOR
024847141986	4,000	EOREOR
024847141672	0,000	EOREOR
024847096699	1,000	EOREOR
024847177022	1,000	EOREOR
024847172928	0,000	EOREOR
4016153559223	0,000	EOREOR
4016153559230	3,000	EOREOR
4016153559247	4,000	EOREOR
4016153559865	2,000	EOREOR
4016153559872	2,000	EOREOR
4016153568065	4,000	EOREOR
4016153561677	35,000	EOREOR
4016153549392	13,000	EOREOR
4016153558448	1,000	EOREOR
795711479466	0,000	EOREOR
886661571727	0,000	EOREOR
795711478179	0,000	EOREOR
886661318230	0,000	EOREOR
795711478728	1,000	EOREOR
886661166206	1,000	EOREOR
886661194827	1,000	EOREOR
795711665715	10,000	EOREOR
795711121358	2,000	EOREOR
795711658731	0,000	EOREOR
795711379292	0,000	EOREOR
795711478681	1,000	EOREOR
795711478704	32,000	EOREOR
795711479220	2,000	EOREOR
2318755ER	0,000	EOREOR
795711478575	0,000	EOREOR
	0,000	EOREOR
795711478636	6,000	EOREOR
795711478230	17,000	EOREOR
795711937096	14,000	EOREOR
795711915971	5,000	EOREOR
795711915988	9,000	EOREOR
795711916015	6,000	EOREOR
795711478964	28,000	EOREOR
795711285227	14,000	EOREOR
886661283200	7,000	EOREOR
886661437443	10,000	EOREOR
795711479152	12,000	EOREOR
795711478797	11,000	EOREOR
886661143870	6,000	EOREOR
795711478315	13,000	EOREOR
795711478322	0,000	EOREOR
795711478599	13,000	EOREOR
795711479299	1,000	EOREOR
795711658670	5,000	EOREOR
	1,000	EOREOR
795711658694	1,000	EOREOR
795711479749	1,000	EOREOR
795711072025	190,000	EOREOR
795711308995	18,000	EOREOR
795711327026	163,000	EOREOR
886661061471	0,000	EOREOR
886661780211	500,000	EOREOR
886661248131	0,000	EOREOR
795711480141	0,000	EOREOR
886661626984	2,000	EOREOR
886661388158	2,000	EOREOR
886661388134	1,000	EOREOR
886661388141	3,000	EOREOR
795711699352	0,000	EOREOR
795711699369	0,000	EOREOR
795711887346	0,000	EOREOR
795711000073	0,000	EOREOR
795711000103	15,000	EOREOR
795711000134	11,000	EOREOR
795711000165	20,000	EOREOR
795711088880	2,000	EOREOR
795711000172	11,000	EOREOR
795711479756	18,000	EOREOR
795711479848	12,000	EOREOR
795711479855	0,000	EOREOR
886661645237	4,000	EOREOR
886661645244	5,000	EOREOR
886661143269	0,000	EOREOR
	0,000	EOREOR
886661208746	5,000	EOREOR
886661866304	4,000	EOREOR
795711699376	25,000	EOREOR
795711935900	16,000	EOREOR
795711699451	5,000	EOREOR
795711855918	0,000	EOREOR
886661243723	6,000	EOREOR
795711699482	1,000	EOREOR
795711480035	6,000	EOREOR
795711837143	1,000	EOREOR
795711837167	2,000	EOREOR
795711480059	9,000	EOREOR
795711480073	4,000	EOREOR
886661094035	4,000	EOREOR
795711424671	0,000	EOREOR
886661184941	1,000	EOREOR
795711480455	10,000	EOREOR
795711480462	8,000	EOREOR
00114608	5,000	EOREOR
795711937379	0,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711937393	0,000	EOREOR
00117036	0,000	EOREOR
8866611060114	0,000	EOREOR
	0,000	EOREOR
795711130008	0,000	EOREOR
795711163235	4,000	EOREOR
795711232634	1,000	EOREOR
795711330088	3,000	EOREOR
795711000462	0,000	EOREOR
795711073152	4,000	EOREOR
795711074890	5,000	EOREOR
795711930905	1,000	EOREOR
795711258979	1,000	EOREOR
795711420598	0,000	EOREOR
795711972936	1,000	EOREOR
795711000691	1,000	EOREOR
	0,000	EOREOR
795711000882	2,000	EOREOR
795711001773	0,000	EOREOR
4084900550748	0,000	EOREOR
795711963637	0,000	EOREOR
795711107710	0,000	EOREOR
795711413170	0,000	EOREOR
795711413194	0,000	EOREOR
795711413200	1,000	EOREOR
795711002275	1,000	EOREOR
795711002367	0,000	EOREOR
886661015276	3,000	EOREOR
886661015283	1,000	EOREOR
795711002534	1,000	EOREOR
795711914622	0,000	EOREOR
795711002909	1,000	EOREOR
795711002930	2,000	EOREOR
795711120771	5,000	EOREOR
795711120788	2,000	EOREOR
795711120795	4,000	EOREOR
795711003135	1,000	EOREOR
795711003258	2,000	EOREOR
795711003357	0,000	EOREOR
886661362400	1,000	EOREOR
795711003470	4,000	EOREOR
795711003494	0,000	EOREOR
795711083137	19,000	EOREOR
795711150099	1,000	EOREOR
795711150105	2,000	EOREOR
795711150129	0,000	EOREOR
795711329259	1,000	EOREOR
795711333041	2,000	EOREOR
795711333058	1,000	EOREOR
795711878894	0,000	EOREOR
886661362394	1,000	EOREOR
795711162702	19,000	EOREOR
	0,000	EOREOR
886661396276	27,000	EOREOR
7957114231482	1,000	EOREOR
795711379421	2,000	EOREOR
795711878863	1,000	EOREOR
	0,000	EOREOR
886661187263	0,000	EOREOR
886661552849	1,000	EOREOR
886661187270	0,000	EOREOR
886661552832	1,000	EOREOR
886661105991	1,000	EOREOR
886661106011	3,000	EOREOR
886661195169	2,000	EOREOR
795711132170	5,000	EOREOR
886661139392	7,000	EOREOR
886661476138	1,000	EOREOR
795711161477	0,000	EOREOR
795711399931	6,000	EOREOR
886661958290	1,000	EOREOR
795711414986	1,000	EOREOR
795711415051	0,000	EOREOR
795711415082	0,000	EOREOR
795711419929	0,000	EOREOR
	0,000	EOREOR
795711941369	1,000	EOREOR
795711192839	0,000	EOREOR
00047364	0,000	EOREOR
795711340988	0,000	EOREOR
795711399764	1,000	EOREOR
795711007324	0,000	EOREOR
886661927579	1,000	EOREOR
886661927616	9,000	EOREOR
886661927739	9,000	EOREOR
886661927746	5,000	EOREOR
886661927753	7,000	EOREOR
886661927760	8,000	EOREOR
795711090364	0,000	EOREOR
795711120849	0,000	EOREOR
795711419950	0,000	EOREOR
795711936631	0,000	EOREOR
886661919192	1,000	EOREOR
886661920150	1,000	EOREOR
886661920938	1,000	EOREOR
886661921331	12,000	EOREOR
886661921355	1,000	EOREOR
886661921362	2,000	EOREOR
886661921751	1,000	EOREOR
886661921768	0,000	EOREOR
795711944742	2,000	EOREOR
795711979881	2,000	EOREOR
795711090395	0,000	EOREOR
886661450282	6,000	EOREOR
886661450299	2,000	EOREOR
886661928095	6,000	EOREOR
886661928101	4,000	EOREOR
886661928118	1,000	EOREOR
886661928125	3,000	EOREOR
886661695393	3,000	EOREOR
886661009121	0,000	EOREOR
886661009114	0,000	EOREOR
795711008666	5,000	EOREOR
795711159634	0,000	EOREOR
795711400064	0,000	EOREOR
795711008949	1,000	EOREOR
795711008963	0,000	EOREOR
795711301842	1,000	EOREOR
795711329235	3,000	EOREOR
795711010546	0,000	EOREOR
795711319250	0,000	EOREOR
795711319267	0,000	EOREOR
795711319274	0,000	EOREOR
886661927562	4,000	EOREOR
866615431996	0,000	EOREOR
886661858958	1,000	EOREOR
886661858965	1,000	EOREOR
886661919147	7,000	EOREOR
886661919154	5,000	EOREOR
886661940899	0,000	EOREOR
886661940929	0,000	EOREOR
	0,000	EOREOR
886661940943	2,000	EOREOR
886661940950	0,000	EOREOR
886661940981	2,000	EOREOR
795711155582	6,000	EOREOR
00176439	3,000	EOREOR
795711255220	8,000	EOREOR
795711255237	6,000	EOREOR
795711441531	1,000	EOREOR
886661363735	0,000	EOREOR
886661363742	1,000	EOREOR
886661363759	1,000	EOREOR
	0,000	EOREOR
	0,000	EOREOR
795711441357	0,000	EOREOR
886661405169	1,000	EOREOR
795711159900	0,000	EOREOR
795711017064	0,000	EOREOR
795711128579	3,000	EOREOR
795711017118	13,000	EOREOR
795711589004	34,400	EOREOR
795711131524	1559,000	EOREOR
795711271367	3,000	EOREOR
886661002610	16,000	EOREOR
886661002634	3,000	EOREOR
886661002726	56,000	EOREOR
886661002740	1,000	EOREOR
886661002825	12,000	EOREOR
886661002894	1,000	EOREOR
886661002986	0,000	EOREOR
886661002603	3,000	EOREOR
	0,000	EOREOR
795711017194	0,000	EOREOR
795711176822	1,000	EOREOR
795711176860	1,000	EOREOR
795711176907	1,000	EOREOR
795711176914	1,000	EOREOR
795711194949	1,000	EOREOR
795711194956	0,000	EOREOR
886661002801	50,000	EOREOR
886661002818	16,000	EOREOR
886661002962	13,000	EOREOR
